name,type,x_um,y_um,z_um
SAAVR,interneuron,-8.18,-270.90,45.42
SABD,interneuron,-3.20,-234.80,14.93
SABVL,interneuron,3.33,-249.25,24.35
SABVR,interneuron,-8.10,-249.25,24.35
SDQL,interneuron,21.40,222.80,19.20
SDQR,interneuron,-14.20,-131.75,-10.55
SIADL,interneuron,-3.96,-267.66,43.97
SIADR,interneuron,-0.38,-269.20,43.65
SIAVL,interneuron,5.95,-259.80,32.25
SIAVR,interneuron,-10.20,-259.80,32.25
SIBDL,interneuron,-5.27,-269.13,45.80
SIBDR,interneuron,0.97,-269.13,45.80
SIBVL,interneuron,-2.67,-269.87,35.41
SIBVR,interneuron,-2.77,-269.87,35.41
SMBDL,motor,3.10,-264.30,33.10
SMBDR,motor,-7.00,-264.30,33.10
SMBVL,motor,0.42,-263.45,33.05
SMBVR,motor,-4.60,-263.45,33.05
SMDDL,motor,3.25,-266.25,34.10
SMDDR,motor,-7.45,-266.25,34.10
SMDVL,motor,4.70,-270.95,46.65
SMDVR,motor,-8.90,-270.95,46.65
URADL,motor,5.00,-284.65,52.20
URADR,motor,-9.30,-284.65,52.20
URAVL,motor,0.33,-279.60,41.40
URAVR,motor,-4.58,-279.60,41.40
URBL,interneuron,5.05,-279.95,47.55
URBR,interneuron,-9.32,-279.95,47.55
URXL,interneuron,3.05,-269.88,48.27
URXR,interneuron,-7.35,-269.88,48.27
URYDL,unknown,4.12,-281.43,51.90
URYDR,unknown,-8.40,-281.43,51.90
URYVL,unknown,3.40,-280.93,45.35
URYVR,unknown,-7.70,-280.93,45.35
VA1,motor,-1.35,-235.55,11.75
VA10,motor,-1.85,254.63,-21.25
VA11,motor,-1.55,312.35,-26.25
VA12,motor,-0.10,362.45,-18.15
VA2,motor,-1.85,-217.10,-3.95
VA3,motor,-1.48,-184.10,-26.37
VA4,motor,-1.85,-119.50,-58.70
VA5,motor,-1.85,-54.30,-66.05
VA6,motor,-1.85,21.55,-41.15
VA7,motor,-1.85,98.05,1.18
VA8,motor,-1.80,150.30,3.40
VA9,motor,-1.80,208.82,-9.05
VB1,motor,-1.55,-246.45,16.40
VB10,motor,-1.85,218.07,-11.40
VB11,motor,-1.82,262.32,-21.95
VB2,motor,-2.00,-253.30,19.85
VB3,motor,-1.85,-210.22,-8.72
VB4,motor,-2.00,-173.25,-33.50
VB5,motor,-1.85,-109.55,-62.15
VB6,motor,-1.85,-36.58,-62.70
VB7,motor,-9.68,41.45,-24.36
VB8,motor,-1.82,108.80,2.88
VB9,motor,-1.85,159.55,3.20
VC1,motor,-0.72,-170.03,-35.75
VC2,motor,-0.62,-105.33,-63.40
VC3,motor,-1.45,-6.45,-54.00
VC4,motor,-1.15,43.85,-24.20
VC5,motor,-1.15,66.55,-12.50
VC6,motor,-1.82,174.18,1.00
VD1,motor,-0.70,-228.60,4.05
VD10,motor,-0.75,236.10,-16.50
VD11,motor,-0.80,283.80,-24.80
VD12,motor,-0.75,345.50,-23.15
VD13,motor,-0.75,379.85,-10.75
VD2,motor,-0.65,-226.05,2.35
VD3,motor,-0.80,-188.10,-23.45
VD4,motor,-0.80,-137.20,-52.70
VD5,motor,-0.75,-68.30,-66.75
VD6,motor,-0.70,-1.40,-52.15
VD7,motor,-12.35,57.95,-14.20
VD8,motor,-0.75,135.10,3.95
VD9,motor,-0.80,191.50,-3.80
